timestamp,session_id,run_mode,trial_index,true_mode,true_label,answer_mode,answer_label,is_correct,reaction_time_sec,replay_count,status
2026-08-05 15:59:01,01,train,1,edge_single_list1_row_top,L1上边,single_list1_col_l2r,列→,False,17.764330,0,answered
2026-08-05 15:59:03,01,train,2,edge_single_list1_row_bottom,L1下边,edge_single_list1_row_top,L1上边,False,1.890611,0,answered
2026-08-05 15:59:04,01,train,3,edge_single_list1_row_top,L1上边,edge_single_list1_row_bottom,L1下边,False,1.211738,0,answered
2026-08-05 15:59:09,01,train,4,single_list1_col_l2r,列→,edge_pair_list1_then_list2_row_top,L1→L2上边,False,4.662116,0,answered
2026-08-05 15:59:14,01,train,5,single_list1_col_l2r,列→,single_list1_col_l2r,列→,True,5.098843,0,answered
2026-08-05 15:59:15,01,train,6,edge_pair_list1_then_list2_row_top,L1→L2上边,edge_single_list1_row_top,L1上边,False,1.609472,0,answered
2026-08-05 17:38:19,01,test,1,single_list1_col_l2r,列→,single_list1_col_l2r,列→,True,13.767118,0,answered
2026-08-05 17:38:22,01,test,2,single_list1_col_l2r,列→,edge_single_list1_row_top,L1上边,False,2.269748,0,answered
2026-08-05 17:38:24,01,test,3,edge_single_list1_row_top,L1上边,edge_single_list1_row_top,L1上边,True,1.947967,0,answered
2026-08-05 17:38:25,01,test,4,edge_single_list1_row_top,L1上边,edge_single_list1_row_top,L1上边,True,1.704527,0,answered
2026-08-05 17:38:27,01,test,5,edge_single_list1_row_bottom,L1下边,edge_single_list1_row_bottom,L1下边,True,1.588492,0,answered
2026-08-05 17:38:28,01,test,6,edge_pair_list1_then_list2_row_top,L1→L2上边,single_list1_col_l2r,列→,False,1.514225,0,answered
2026-08-05 17:40:33,01,test,1,single_list1_col_l2r,列→,single_list1_col_l2r,列→,True,2.883477,0,answered
2026-08-05 17:40:35,01,test,2,single_list1_col_l2r,列→,edge_single_list1_row_top,L1上边,False,2.324684,0,answered
2026-08-05 17:42:03,01,test,3,edge_single_list1_row_top,L1上边,edge_single_list1_row_top,L1上边,True,87.767871,0,answered
2026-08-05 17:42:04,01,test,4,edge_pair_list1_then_list2_row_top,L1→L2上边,edge_single_list1_row_top,L1上边,False,1.731754,0,answered
2026-08-05 17:42:06,01,test,5,edge_single_list1_row_bottom,L1下边,edge_single_list1_row_top,L1上边,False,1.484810,0,answered
2026-08-05 17:42:07,01,test,6,edge_single_list1_row_top,L1上边,edge_single_list1_row_top,L1上边,True,1.205674,0,answered
